X,Y,Temperature
0.468750,17.187500,10.169753
0.468750,17.343750,10.796648
0.468750,17.500000,11.497411
0.468750,17.656250,12.286133
0.468750,17.812500,13.180682
0.468750,17.968750,14.204028
0.468750,18.125000,15.386157
0.468750,18.281250,16.766872
0.468750,18.437500,18.400005
0.468750,18.593750,20.359850
0.468750,18.750000,22.751195
0.468750,18.906250,25.725211
0.468750,19.062500,29.504758
0.468750,19.218750,34.424116
0.468750,19.375000,40.987580
0.468750,19.531250,49.939877
0.468750,19.687500,62.288524
0.468750,19.843750,79.041039
0.468750,20.000000,100.000000
0.625000,0.000000,0.000000
0.625000,0.156250,0.026669
0.625000,0.312500,0.053355
0.625000,0.468750,0.080075
0.625000,0.625000,0.106845
0.625000,0.781250,0.133683
0.625000,0.937500,0.160604
0.625000,1.093750,0.187627
0.625000,1.250000,0.214768
0.625000,1.406250,0.242045
0.625000,1.562500,0.269474
0.625000,1.718750,0.297074
0.625000,1.875000,0.324861
0.625000,2.031250,0.352854
0.625000,2.187500,0.381070
0.625000,2.343750,0.409528
0.625000,2.500000,0.438245
0.625000,2.656250,0.467241
0.625000,2.812500,0.496534
0.625000,2.968750,0.526144
0.625000,3.125000,0.556089
0.625000,3.281250,0.586389
0.625000,3.437500,0.617065
0.625000,3.593750,0.648136
0.625000,3.750000,0.679623
0.625000,3.906250,0.711547
0.625000,4.062500,0.743931
0.625000,4.218750,0.776795
0.625000,4.375000,0.810162
0.625000,4.531250,0.844056
0.625000,4.687500,0.878499
0.625000,4.843750,0.913516
0.625000,5.000000,0.949131
0.625000,5.156250,0.985369
0.625000,5.312500,1.022257
0.625000,5.468750,1.059821
0.625000,5.625000,1.098088
0.625000,5.781250,1.137087
0.625000,5.937500,1.176846
0.625000,6.093750,1.217396
0.625000,6.250000,1.258767
0.625000,6.406250,1.300991
0.625000,6.562500,1.344101
0.625000,6.718750,1.388131
0.625000,6.875000,1.433117
0.625000,7.031250,1.479095
0.625000,7.187500,1.526102
0.625000,7.343750,1.574178
0.625000,7.500000,1.623365
0.625000,7.656250,1.673703
0.625000,7.812500,1.725238
0.625000,7.968750,1.778016
0.625000,8.125000,1.832085
0.625000,8.281250,1.887494
0.625000,8.437500,1.944297
0.625000,8.593750,2.002547
0.625000,8.750000,2.062304
0.625000,8.906250,2.123626
0.625000,9.062500,2.186577
0.625000,9.218750,2.251223
0.625000,9.375000,2.317634
0.625000,9.531250,2.385885
0.625000,9.687500,2.456051
0.625000,9.843750,2.528215
0.625000,10.000000,2.602464
0.625000,10.156250,2.678888
0.625000,10.312500,2.757586
0.625000,10.468750,2.838658
0.625000,10.625000,2.922215
0.625000,10.781250,3.008373
0.625000,10.937500,3.097254
0.625000,11.093750,3.188991
0.625000,11.250000,3.283724
0.625000,11.406250,3.381603
0.625000,11.562500,3.482790
0.625000,11.718750,3.587457
0.625000,11.875000,3.695788
0.625000,12.031250,3.807984
0.625000,12.187500,3.924259
0.625000,12.343750,4.044844
0.625000,12.500000,4.169991
0.625000,12.656250,4.299970
0.625000,12.812500,4.435076
0.625000,12.968750,4.575628
0.625000,13.125000,4.721975
0.625000,13.281250,4.874496
0.625000,13.437500,5.033606
0.625000,13.593750,5.199761
0.625000,13.750000,5.373461
0.625000,13.906250,5.555254
0.625000,14.062500,5.745749
0.625000,14.218750,5.945616
0.625000,14.375000,6.155600
0.625000,14.531250,6.376528
0.625000,14.687500,6.609323
0.625000,14.843750,6.855017
0.625000,15.000000,7.114771
0.625000,15.156250,7.389888
0.625000,15.312500,7.681843
0.625000,15.468750,7.992309
0.625000,15.625000,8.323190
0.625000,15.781250,8.676664
0.625000,15.937500,9.055233
0.625000,16.093750,9.461786
0.625000,16.250000,9.899672
0.625000,16.406250,10.372800
0.625000,16.562500,10.885755
0.625000,16.718750,11.443953
0.625000,16.875000,12.053830
0.625000,17.031250,12.723092
0.625000,17.187500,13.461039
0.625000,17.343750,14.278990
0.625000,17.500000,15.190847
0.625000,17.656250,16.213852
0.625000,17.812500,17.369621
0.625000,17.968750,18.685568
0.625000,18.125000,20.196878
0.625000,18.281250,21.949308
0.625000,18.437500,24.003158
0.625000,18.593750,26.438963
0.625000,18.750000,29.365631
0.625000,18.906250,32.931894
0.625000,19.062500,37.341738
0.625000,19.218750,42.872990
0.625000,19.375000,49.893114
0.625000,19.531250,58.852091
0.625000,19.687500,70.199899
0.625000,19.843750,84.123724
0.625000,20.000000,100.000000
0.781250,0.000000,0.000000
0.781250,0.156250,0.033305
0.781250,0.312500,0.066631
0.781250,0.468750,0.099999
0.781250,0.625000,0.133430
0.781250,0.781250,0.166945
0.781250,0.937500,0.200566
0.781250,1.093750,0.234312
0.781250,1.250000,0.268206
0.781250,1.406250,0.302269
0.781250,1.562500,0.336523
0.781250,1.718750,0.370990
0.781250,1.875000,0.405691
0.781250,2.031250,0.440648
0.781250,2.187500,0.475884
0.781250,2.343750,0.511422
0.781250,2.500000,0.547285
0.781250,2.656250,0.583494
0.781250,2.812500,0.620075
0.781250,2.968750,0.657050
0.781250,3.125000,0.694445
0.781250,3.281250,0.732283
0.781250,3.437500,0.770589
0.781250,3.593750,0.809389
0.781250,3.750000,0.848708
0.781250,3.906250,0.888574
0.781250,4.062500,0.929012
0.781250,4.218750,0.970050
0.781250,4.375000,1.011716
0.781250,4.531250,1.054039
0.781250,4.687500,1.097048
0.781250,4.843750,1.140772
0.781250,5.000000,1.185244
0.781250,5.156250,1.230493
0.781250,5.312500,1.276553
0.781250,5.468750,1.323456
0.781250,5.625000,1.371237
0.781250,5.781250,1.419931
0.781250,5.937500,1.469574
0.781250,6.093750,1.520204
0.781250,6.250000,1.571858
0.781250,6.406250,1.624576
0.781250,6.562500,1.678400
0.781250,6.718750,1.733372
0.781250,6.875000,1.789535
0.781250,7.031250,1.846936
0.781250,7.187500,1.905622
0.781250,7.343750,1.965640
0.781250,7.500000,2.027043
0.781250,7.656250,2.089884
0.781250,7.812500,2.154216
0.781250,7.968750,2.220098
0.781250,8.125000,2.287589
0.781250,8.281250,2.356752
0.781250,8.437500,2.427653
0.781250,8.593750,2.500358
0.781250,8.750000,2.574940
0.781250,8.906250,2.651474
0.781250,9.062500,2.730038
0.781250,9.218750,2.810715
0.781250,9.375000,2.893591
0.781250,9.531250,2.978758
0.781250,9.687500,3.066312
0.781250,9.843750,3.156355
0.781250,10.000000,3.248994
0.781250,10.156250,3.344342
0.781250,10.312500,3.442520
0.781250,10.468750,3.543656
0.781250,10.625000,3.647884
0.781250,10.781250,3.755348
0.781250,10.937500,3.866202
0.781250,11.093750,3.980609
0.781250,11.250000,4.098742
0.781250,11.406250,4.220788
0.781250,11.562500,4.346946
0.781250,11.718750,4.477430
0.781250,11.875000,4.612469
0.781250,12.031250,4.752309
0.781250,12.187500,4.897216
0.781250,12.343750,5.047476
0.781250,12.500000,5.203398
0.781250,12.656250,5.365317
0.781250,12.812500,5.533596
0.781250,12.968750,5.708628
0.781250,13.125000,5.890844
0.781250,13.281250,6.080711
0.781250,13.437500,6.278739
0.781250,13.593750,6.485488
0.781250,13.750000,6.701572
0.781250,13.906250,6.927667
0.781250,14.062500,7.164515
0.781250,14.218750,7.412939
0.781250,14.375000,7.673850
0.781250,14.531250,7.948259
0.781250,14.687500,8.237293
0.781250,14.843750,8.542211
0.781250,15.000000,8.864424
0.781250,15.156250,9.205516
0.781250,15.312500,9.567275
0.781250,15.468750,9.951728
0.781250,15.625000,10.361172
0.781250,15.781250,10.798234
0.781250,15.937500,11.265920
0.781250,16.093750,11.767688
0.781250,16.250000,12.307541
0.781250,16.406250,12.890126
0.781250,16.562500,13.520876
0.781250,16.718750,14.206174
0.781250,16.875000,14.953566
0.781250,17.031250,15.772029
0.781250,17.187500,16.672322
0.781250,17.343750,17.667427
0.781250,17.500000,18.773134
0.781250,17.656250,20.008806
0.781250,17.812500,21.398385
0.781250,17.968750,22.971744
0.781250,18.125000,24.766479
0.781250,18.281250,26.830324
0.781250,18.437500,29.224355
0.781250,18.593750,32.027215
0.781250,18.750000,35.340474
0.781250,18.906250,39.294996
0.781250,19.062500,44.057309
0.781250,19.218750,49.832992
0.781250,19.375000,56.859797
0.781250,19.531250,65.375474
0.781250,19.687500,75.535259
0.781250,19.843750,87.253959
0.781250,20.000000,100.000000
0.937500,0.000000,0.000000
0.937500,0.156250,0.039920
0.937500,0.312500,0.079865
0.937500,0.468750,0.119861
0.937500,0.625000,0.159932
0.937500,0.781250,0.200103
0.937500,0.937500,0.240400
0.937500,1.093750,0.280849
0.937500,1.250000,0.321475
0.937500,1.406250,0.362303
0.937500,1.562500,0.403360
0.937500,1.718750,0.444672
0.937500,1.875000,0.486264
0.937500,2.031250,0.528164
0.937500,2.187500,0.570398
0.937500,2.343750,0.612993
0.937500,2.500000,0.655976
0.937500,2.656250,0.699376
0.937500,2.812500,0.743221
0.937500,2.968750,0.787538
0.937500,3.125000,0.832358
0.937500,3.281250,0.877708
0.937500,3.437500,0.923620
0.937500,3.593750,0.970123
0.937500,3.750000,1.017248
0.937500,3.906250,1.065027
0.937500,4.062500,1.113493
0.937500,4.218750,1.162677
0.937500,4.375000,1.212613
0.937500,4.531250,1.263336
0.937500,4.687500,1.314881
0.937500,4.843750,1.367283
0.937500,5.000000,1.420579
0.937500,5.156250,1.474807
